-0 , 2 , -2.98023e-008 | 0 , 1.33333 , 0.333333 | 0.333333 , 1.33333 , -1.45705e-008
-0 , 2 , -2.98023e-008 | 0.333333 , 1.33333 , -1.45705e-008 | -2.98023e-008 , 2 , 1.3027e-015
-2.98023e-008 , 2 , 1.3027e-015 | 0.333333 , 1.33333 , -1.45705e-008 | -2.91409e-008 , 1.33333 , -0.333333
-2.98023e-008 , 2 , 1.3027e-015 | -2.91409e-008 , 1.33333 , -0.333333 | 2.6054e-015 , 2 , 2.98023e-008
2.6054e-015 , 2 , 2.98023e-008 | -2.91409e-008 , 1.33333 , -0.333333 | -0.333333 , 1.33333 , 3.97496e-009
2.6054e-015 , 2 , 2.98023e-008 | -0.333333 , 1.33333 , 3.97496e-009 | 2.98023e-008 , 2 , -3.55389e-016
2.98023e-008 , 2 , -3.55389e-016 | -0.333333 , 1.33333 , 3.97496e-009 | 5.82818e-008 , 1.33333 , 0.333333
2.98023e-008 , 2 , -3.55389e-016 | 5.82818e-008 , 1.33333 , 0.333333 | -5.2108e-015 , 2 , -2.98023e-008
0 , 1.33333 , 0.333333 | 0 , 0.666667 , 0.666667 | 0.666667 , 0.666667 , -2.91409e-008
0 , 1.33333 , 0.333333 | 0.666667 , 0.666667 , -2.91409e-008 | 0.333333 , 1.33333 , -1.45705e-008
0.333333 , 1.33333 , -1.45705e-008 | 0.666667 , 0.666667 , -2.91409e-008 | -5.82818e-008 , 0.666667 , -0.666667
0.333333 , 1.33333 , -1.45705e-008 | -5.82818e-008 , 0.666667 , -0.666667 | -2.91409e-008 , 1.33333 , -0.333333
-2.91409e-008 , 1.33333 , -0.333333 | -5.82818e-008 , 0.666667 , -0.666667 | -0.666667 , 0.666667 , 7.94992e-009
-2.91409e-008 , 1.33333 , -0.333333 | -0.666667 , 0.666667 , 7.94992e-009 | -0.333333 , 1.33333 , 3.97496e-009
-0.333333 , 1.33333 , 3.97496e-009 | -0.666667 , 0.666667 , 7.94992e-009 | 1.16564e-007 , 0.666667 , 0.666667
-0.333333 , 1.33333 , 3.97496e-009 | 1.16564e-007 , 0.666667 , 0.666667 | 5.82818e-008 , 1.33333 , 0.333333
0 , 0.666667 , 0.666667 | 0 , -5.96046e-008 , 1 | 1 , -5.96046e-008 , -4.37114e-008
0 , 0.666667 , 0.666667 | 1 , -5.96046e-008 , -4.37114e-008 | 0.666667 , 0.666667 , -2.91409e-008
0 , -5.96046e-008 , 1 | 0 , 0 , 0 | 1 , -5.96046e-008 , -4.37114e-008
0.666667 , 0.666667 , -2.91409e-008 | 1 , -5.96046e-008 , -4.37114e-008 | -8.74228e-008 , -5.96046e-008 , -1
0.666667 , 0.666667 , -2.91409e-008 | -8.74228e-008 , -5.96046e-008 , -1 | -5.82818e-008 , 0.666667 , -0.666667
1 , -5.96046e-008 , -4.37114e-008 | 0 , 0 , 0 | -8.74228e-008 , -5.96046e-008 , -1
-5.82818e-008 , 0.666667 , -0.666667 | -8.74228e-008 , -5.96046e-008 , -1 | -1 , -5.96046e-008 , 1.19249e-008
-5.82818e-008 , 0.666667 , -0.666667 | -1 , -5.96046e-008 , 1.19249e-008 | -0.666667 , 0.666667 , 7.94992e-009
-8.74228e-008 , -5.96046e-008 , -1 | 0 , 0 , 0 | -1 , -5.96046e-008 , 1.19249e-008
-0.666667 , 0.666667 , 7.94992e-009 | -1 , -5.96046e-008 , 1.19249e-008 | 1.74846e-007 , -5.96046e-008 , 1
-0.666667 , 0.666667 , 7.94992e-009 | 1.74846e-007 , -5.96046e-008 , 1 | 1.16564e-007 , 0.666667 , 0.666667
-1 , -5.96046e-008 , 1.19249e-008 | 0 , 0 , 0 | 1.74846e-007 , -5.96046e-008 , 1
